service_id,monday,tuesday,wednesday,thursday,friday,saturday,sunday,start_date,end_date
2_122945,1,1,1,1,1,0,0,20260101,20991231
2_122946,1,1,1,1,1,0,0,20260101,20991231
2_122947,1,1,1,1,1,0,0,20260101,20991231
2_122948,1,1,1,1,1,0,0,20260101,20991231
2_122949,1,1,1,1,1,0,0,20260101,20991231
2_122950,1,1,1,1,1,0,0,20260101,20991231
2_122988,0,0,0,0,0,1,1,20260101,20991231
2_122989,0,0,0,0,0,1,1,20260101,20991231
2_122990,0,0,0,0,0,1,1,20260101,20991231
2_122991,0,0,0,0,0,1,1,20260101,20991231
2_123002,0,0,0,0,0,1,1,20260101,20991231
2_123003,0,0,0,0,0,1,1,20260101,20991231
2_123004,0,0,0,0,0,1,1,20260101,20991231
2_123005,0,0,0,0,0,1,1,20260101,20991231
2_123035,1,1,1,1,1,0,0,20260101,20991231
2_123036,1,1,1,1,1,0,0,20260101,20991231
2_123058,0,0,0,0,0,1,1,20260101,20991231
2_123059,0,0,0,0,0,1,1,20260101,20991231
2_123060,1,1,1,1,1,0,0,20260101,20991231
2_123061,1,1,1,1,1,0,0,20260101,20991231
2_123065,0,0,0,0,0,1,1,20260101,20991231
2_123066,0,0,0,0,0,1,1,20260101,20991231
2_123067,0,0,0,0,0,1,1,20260101,20991231
2_123068,0,0,0,0,0,1,1,20260101,20991231
2_123069,0,0,0,0,0,1,1,20260101,20991231
2_123070,0,0,0,0,0,1,1,20260101,20991231
2_123071,0,0,0,0,0,1,1,20260101,20991231
2_123072,0,0,0,0,0,1,1,20260101,20991231
2_123073,0,0,0,0,0,1,1,20260101,20991231
2_123077,0,0,0,0,0,1,1,20260101,20991231
2_123078,0,0,0,0,0,1,1,20260101,20991231
2_123137,0,0,0,0,0,1,1,20260101,20991231
2_123138,0,0,0,0,0,1,1,20260101,20991231
2_123139,0,0,0,0,0,1,1,20260101,20991231
2_123140,0,0,0,0,0,1,1,20260101,20991231
2_123141,1,1,1,1,1,0,0,20260101,20991231
2_123142,1,1,1,1,1,0,0,20260101,20991231
2_123143,1,1,1,1,1,0,0,20260101,20991231
2_123144,1,1,1,1,1,0,0,20260101,20991231
2_123145,1,1,1,1,1,0,0,20260101,20991231
2_123146,1,1,1,1,1,0,0,20260101,20991231
2_123147,1,1,1,1,1,0,0,20260101,20991231
2_123148,1,1,1,1,1,0,0,20260101,20991231
2_123149,1,1,1,1,1,0,0,20260101,20991231
2_123150,1,1,1,1,1,0,0,20260101,20991231
2_123160,0,0,0,0,0,1,1,20260101,20991231
2_123161,0,0,0,0,0,1,1,20260101,20991231
2_123162,0,0,0,0,0,1,1,20260101,20991231
2_123163,0,0,0,0,0,1,1,20260101,20991231
2_123164,0,0,0,0,0,1,1,20260101,20991231
2_123195,0,0,0,0,0,1,1,20260101,20991231
2_123196,0,0,0,0,0,1,1,20260101,20991231
2_123197,1,1,1,1,1,0,0,20260101,20991231
2_123198,1,1,1,1,1,0,0,20260101,20991231
2_123202,1,1,1,1,1,0,0,20260101,20991231
2_123203,1,1,1,1,1,0,0,20260101,20991231
2_123204,1,1,1,1,1,0,0,20260101,20991231
2_123205,1,1,1,1,1,0,0,20260101,20991231
2_123206,1,1,1,1,1,0,0,20260101,20991231
2_123207,0,0,0,0,0,1,1,20260101,20991231
2_123208,0,0,0,0,0,1,1,20260101,20991231
2_123209,0,0,0,0,0,1,1,20260101,20991231
2_123210,0,0,0,0,0,1,1,20260101,20991231
2_123211,0,0,0,0,0,1,1,20260101,20991231
2_123305,1,1,1,1,1,0,0,20260105,20991231
2_123306,1,1,1,1,1,0,0,20260105,20991231
2_123307,1,1,1,1,1,0,0,20260105,20991231
2_123308,1,1,1,1,1,0,0,20260105,20991231
2_123309,1,1,1,1,1,0,0,20260105,20991231
2_123310,1,1,1,1,1,0,0,20260105,20991231
2_123352,1,1,1,1,1,0,0,20260304,20991231
2_123353,1,1,1,1,1,0,0,20260304,20991231
2_123354,1,1,1,1,1,0,0,20260304,20991231
2_123355,1,1,1,1,1,0,0,20260304,20991231
2_123356,1,1,1,1,1,0,0,20260304,20991231
2_123357,1,1,1,1,1,0,0,20260304,20991231
2_123358,1,1,1,1,1,0,0,20260304,20991231
2_123359,1,1,1,1,1,0,0,20260304,20991231
2_123360,1,1,1,1,1,0,0,20260304,20991231
2_123441,1,1,1,1,1,0,0,20260318,20991231
2_123442,1,1,1,1,1,0,0,20260318,20991231
2_123443,1,1,1,1,1,0,0,20260318,20991231
2_123444,1,1,1,1,1,0,0,20260318,20991231
2_123445,1,1,1,1,1,0,0,20260318,20991231
2_123533,0,0,0,0,0,1,1,20260401,20991231
2_123534,0,0,0,0,0,1,1,20260401,20991231
2_123535,0,0,0,0,0,1,1,20260401,20991231
2_123536,0,0,0,0,0,1,1,20260401,20991231
2_123537,0,0,0,0,0,1,1,20260401,20991231
2_123538,0,0,0,0,0,1,1,20260401,20991231
2_123539,0,0,0,0,0,1,1,20260401,20991231
2_123540,0,0,0,0,0,1,1,20260401,20991231
2_123600,1,1,1,1,1,0,0,20260406,20991231
2_123601,1,1,1,1,1,0,0,20260406,20991231
2_123602,1,1,1,1,1,0,0,20260406,20991231
2_123627,1,1,1,1,1,0,0,20260407,20991231
2_123628,1,1,1,1,1,0,0,20260407,20991231
2_123629,1,1,1,1,1,0,0,20260407,20991231
2_123630,1,1,1,1,1,0,0,20260407,20991231
2_123631,1,1,1,1,1,0,0,20260407,20991231
2_123655,1,1,1,1,1,0,0,20260416,20991231
2_123656,1,1,1,1,1,0,0,20260416,20991231
2_123657,1,1,1,1,1,0,0,20260416,20991231
2_123658,0,0,0,0,0,1,1,20260418,20991231
2_123659,0,0,0,0,0,1,1,20260418,20991231
2_123660,0,0,0,0,0,1,1,20260418,20991231
2_123694,0,0,0,0,0,1,1,20260420,20991231
2_123695,0,0,0,0,0,1,1,20260420,20991231
2_123696,0,0,0,0,0,1,1,20260420,20991231
2_123697,0,0,0,0,0,1,1,20260420,20991231
2_123698,0,0,0,0,0,1,1,20260420,20991231
2_123699,0,0,0,0,0,1,1,20260420,20991231
2_123700,0,0,0,0,0,1,1,20260420,20991231
2_123701,0,0,0,0,0,1,1,20260420,20991231
2_123702,0,0,0,0,0,1,1,20260420,20991231
2_123711,0,0,0,0,0,1,1,20260420,20991231
2_123712,0,0,0,0,0,1,1,20260420,20991231
2_123713,0,0,0,0,0,1,1,20260420,20991231
2_123714,0,0,0,0,0,1,1,20260420,20991231
2_123715,0,0,0,0,0,1,1,20260420,20991231
2_123775,0,0,0,0,0,1,1,20260420,20991231
2_123776,0,0,0,0,0,1,1,20260420,20991231
2_123777,0,0,0,0,0,1,1,20260420,20991231
2_123778,0,0,0,0,0,1,1,20260420,20991231
2_123779,0,0,0,0,0,1,1,20260420,20991231
2_123785,0,0,0,0,0,1,1,20260420,20991231
2_123786,0,0,0,0,0,1,1,20260420,20991231
2_123787,0,0,0,0,0,1,1,20260420,20991231
2_123821,1,1,1,1,1,0,0,20260423,20991231
2_123822,1,1,1,1,1,0,0,20260423,20991231
2_123823,1,1,1,1,1,0,0,20260423,20991231
2_123824,1,1,1,1,1,0,0,20260423,20991231
2_123825,1,1,1,1,1,0,0,20260423,20991231
2_123826,1,1,1,1,1,0,0,20260423,20991231
2_123827,1,1,1,1,1,0,0,20260423,20991231
2_123828,1,1,1,1,1,0,0,20260423,20991231
2_123829,1,1,1,1,1,0,0,20260423,20991231
2_123830,1,1,1,1,1,0,0,20260423,20991231
2_123831,1,1,1,1,1,0,0,20260423,20991231
2_123832,1,1,1,1,1,0,0,20260423,20991231
2_123833,1,1,1,1,1,0,0,20260423,20991231
2_123860,1,1,1,1,1,0,0,20260423,20991231
2_123861,1,1,1,1,1,0,0,20260423,20991231
2_123862,1,1,1,1,1,0,0,20260423,20991231
2_123863,1,1,1,1,1,0,0,20260423,20991231
2_123864,1,1,1,1,1,0,0,20260423,20991231
2_123865,1,1,1,1,1,0,0,20260423,20991231
2_123878,0,0,0,0,0,1,1,20260425,20991231
2_123879,0,0,0,0,0,1,1,20260425,20991231
2_123880,0,0,0,0,0,1,1,20260425,20991231
2_123885,0,0,0,0,0,1,1,20260501,20991231
2_123886,0,0,0,0,0,1,1,20260501,20991231
2_123887,0,0,0,0,0,1,1,20260501,20991231
2_123888,1,1,1,1,1,0,0,20260501,20991231
2_123889,1,1,1,1,1,0,0,20260501,20991231
2_123890,1,1,1,1,1,0,0,20260501,20991231
2_123891,1,1,1,1,1,0,0,20260501,20991231
2_123892,1,1,1,1,1,0,0,20260501,20991231
2_123893,1,1,1,1,1,0,0,20260501,20991231
2_123894,1,1,1,1,1,0,0,20260501,20991231
2_123914,0,0,0,0,0,1,1,20260501,20991231
2_123915,0,0,0,0,0,1,1,20260501,20991231
2_123916,0,0,0,0,0,1,1,20260501,20991231
2_123917,0,0,0,0,0,1,1,20260501,20991231
2_123918,0,0,0,0,0,1,1,20260501,20991231
2_123919,0,0,0,0,0,1,1,20260501,20991231
2_123920,0,0,0,0,0,1,1,20260501,20991231
2_123925,0,0,0,0,0,1,1,20260501,20260717
2_123926,0,0,0,0,0,1,1,20260501,20260717
2_123927,0,0,0,0,0,1,1,20260501,20260717
